Account General Rate Type,Account Is Active,Account Is Allocated Overhead,Account Is Balancesheet,Account Is GAAP,Account Key,Account Level 0 Name,Account Level 0 Number,Account Level 1 Name,Account Level 1 Number,Account Level 2 Name,Account Level 2 Number,Account Number,Account Type Name,Account Type Sequence,Amount USD,Learn More,Actual,Forecast,Variance,Variance %,Department Is Active,Department Key,Department Level 0 Name,Department Level 0 Number,Department Level 1 Name,Department Level 1 Number,Department Number,Number of Records,Path,Period Ending Date,Scenario,Sheet,Version
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$512.17,Explore Tableau for Finance Analytics,$512,$0,($512),,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$9.99,Explore Tableau for Finance Analytics,$10,$0,($10),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$283.26,Explore Tableau for Finance Analytics,$283,$0,($283),,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$3,447.81",Explore Tableau for Finance Analytics,"$3,448",$0,"($3,448)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,073,152.09",Explore Tableau for Finance Analytics,"$1,073,152",$0,"($1,073,152)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,028.75",Explore Tableau for Finance Analytics,"$2,029",$0,"($2,029)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$24,068.88",Explore Tableau for Finance Analytics,"$24,069",$0,"($24,069)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$512.17,Explore Tableau for Finance Analytics,$512,$0,($512),,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$10.94,Explore Tableau for Finance Analytics,$11,$0,($11),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$4,225.18",Explore Tableau for Finance Analytics,"$4,225",$0,"($4,225)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$3,890.09",Explore Tableau for Finance Analytics,"$3,890",$0,"($3,890)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,441,583.21",Explore Tableau for Finance Analytics,"$1,441,583",$0,"($1,441,583)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,094.25",Explore Tableau for Finance Analytics,"$2,094",$0,"($2,094)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$3,595.42",Explore Tableau for Finance Analytics,"$3,595",$0,"($3,595)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$512.17,Explore Tableau for Finance Analytics,$512,$0,($512),,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$21.11,Explore Tableau for Finance Analytics,$21,$0,($21),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"($2,306.34)",Explore Tableau for Finance Analytics,"($2,306)",$0,"$2,306",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$9,052.65",Explore Tableau for Finance Analytics,"$9,053",$0,"($9,053)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,076,935.09",Explore Tableau for Finance Analytics,"$1,076,935",$0,"($1,076,935)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$921.25,Explore Tableau for Finance Analytics,$921,$0,($921),,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$24,458.63",Explore Tableau for Finance Analytics,"$24,459",$0,"($24,459)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$512.17,Explore Tableau for Finance Analytics,$512,$0,($512),,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$26.10,Explore Tableau for Finance Analytics,$26,$0,($26),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,563.21",Explore Tableau for Finance Analytics,"$1,563",$0,"($1,563)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$5,166.21",Explore Tableau for Finance Analytics,"$5,166",$0,"($5,166)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,150,826.22",Explore Tableau for Finance Analytics,"$1,150,826",$0,"($1,150,826)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,353.50",Explore Tableau for Finance Analytics,"$2,354",$0,"($2,354)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$3,391.02",Explore Tableau for Finance Analytics,"$3,391",$0,"($3,391)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$607.17,Explore Tableau for Finance Analytics,$607,$0,($607),,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$35.33,Explore Tableau for Finance Analytics,$35,$0,($35),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,630.06",Explore Tableau for Finance Analytics,"$1,630",$0,"($1,630)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$7,285.88",Explore Tableau for Finance Analytics,"$7,286",$0,"($7,286)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$3,078,626.66",Explore Tableau for Finance Analytics,"$3,078,627",$0,"($3,078,627)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$4,202.89",Explore Tableau for Finance Analytics,"$4,203",$0,"($4,203)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$7,301.73",Explore Tableau for Finance Analytics,"$7,302",$0,"($7,302)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,027.11",Explore Tableau for Finance Analytics,"$1,027",$0,"($1,027)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$35.84,Explore Tableau for Finance Analytics,$36,$0,($36),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,563.22",Explore Tableau for Finance Analytics,"$1,563",$0,"($1,563)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$7,078.63",Explore Tableau for Finance Analytics,"$7,079",$0,"($7,079)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,213,474.89",Explore Tableau for Finance Analytics,"$2,213,475",$0,"($2,213,475)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$3,390.04",Explore Tableau for Finance Analytics,"$3,390",$0,"($3,390)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,364.78",Explore Tableau for Finance Analytics,"$2,365",$0,"($2,365)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,053.79",Explore Tableau for Finance Analytics,"$1,054",$0,"($1,054)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$16.08,Explore Tableau for Finance Analytics,$16,$0,($16),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$240.62,Explore Tableau for Finance Analytics,$241,$0,($241),,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$9,246.63",Explore Tableau for Finance Analytics,"$9,247",$0,"($9,247)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,740,057.18",Explore Tableau for Finance Analytics,"$2,740,057",$0,"($2,740,057)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,117.34",Explore Tableau for Finance Analytics,"$2,117",$0,"($2,117)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$6,202.26",Explore Tableau for Finance Analytics,"$6,202",$0,"($6,202)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,306.07",Explore Tableau for Finance Analytics,"$1,306",$0,"($1,306)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$16.09,Explore Tableau for Finance Analytics,$16,$0,($16),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$227.67,Explore Tableau for Finance Analytics,$228,$0,($228),,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$12,413.02",Explore Tableau for Finance Analytics,"$12,413",$0,"($12,413)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,598,078.43",Explore Tableau for Finance Analytics,"$2,598,078",$0,"($2,598,078)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,936.35",Explore Tableau for Finance Analytics,"$2,936",$0,"($2,936)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$1,303.14",Explore Tableau for Finance Analytics,"$1,303",$0,"($1,303)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,"$2,044.43",Explore Tableau for Finance Analytics,"$2,044",$0,"($2,044)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,13,Expense,30000,Marketing,36000,Marketing,36000,36000,Expense,3,$240.61,Explore Tableau for Finance Analytics,$241,$0,($241),,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$5,715.73",Explore Tableau for Finance Analytics,"$5,716",$0,"($5,716)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$9,239.42",Explore Tableau for Finance Analytics,"$9,239",$0,"($9,239)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$198,283.50",Explore Tableau for Finance Analytics,"$198,284",$0,"($198,284)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$718,521.04",Explore Tableau for Finance Analytics,"$718,521",$0,"($718,521)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$12,607.12",Explore Tableau for Finance Analytics,"$12,607",$0,"($12,607)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,$611.11,Explore Tableau for Finance Analytics,$611,$0,($611),,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$49,965.30",Explore Tableau for Finance Analytics,"$49,965",$0,"($49,965)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$8,057.40",Explore Tableau for Finance Analytics,"$8,057",$0,"($8,057)",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$51,355.22",Explore Tableau for Finance Analytics,"$51,355",$0,"($51,355)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$179,069.54",Explore Tableau for Finance Analytics,"$179,070",$0,"($179,070)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$577,536.52",Explore Tableau for Finance Analytics,"$577,537",$0,"($577,537)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$50,867.16",Explore Tableau for Finance Analytics,"$50,867",$0,"($50,867)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$15,931.14",Explore Tableau for Finance Analytics,"$15,931",$0,"($15,931)",,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$179,992.96",Explore Tableau for Finance Analytics,"$179,993",$0,"($179,993)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"($1,155.48)",Explore Tableau for Finance Analytics,"($1,155)",$0,"$1,155",,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$40,757.79",Explore Tableau for Finance Analytics,"$40,758",$0,"($40,758)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$193,435.68",Explore Tableau for Finance Analytics,"$193,436",$0,"($193,436)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$505,290.89",Explore Tableau for Finance Analytics,"$505,291",$0,"($505,291)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$36,945.25",Explore Tableau for Finance Analytics,"$36,945",$0,"($36,945)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$19,123.12",Explore Tableau for Finance Analytics,"$19,123",$0,"($19,123)",,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$179,398.79",Explore Tableau for Finance Analytics,"$179,399",$0,"($179,399)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,$560.10,Explore Tableau for Finance Analytics,$560,$0,($560),,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$35,151.87",Explore Tableau for Finance Analytics,"$35,152",$0,"($35,152)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$314,703.84",Explore Tableau for Finance Analytics,"$314,704",$0,"($314,704)",,True,3,Development,3000,Development,3000,3000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$553,817.01",Explore Tableau for Finance Analytics,"$553,817",$0,"($553,817)",,True,5,Operations,4000,Finance,4100,4100,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$16,504.99",Explore Tableau for Finance Analytics,"$16,505",$0,"($16,505)",,True,6,Operations,4000,HR,4200,4200,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$4,397.69",Explore Tableau for Finance Analytics,"$4,398",$0,"($4,398)",,True,7,Operations,4000,Workplace,4300,4300,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$147,857.23",Explore Tableau for Finance Analytics,"$147,857",$0,"($147,857)",,True,8,Operations,4000,IT,4400,4400,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,$487.34,Explore Tableau for Finance Analytics,$487,$0,($487),,True,1,Sales,1000,Sales,1000,1000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,14,Expense,30000,Professional Services & Fees,37000,Professional Services & Fees,37000,37000,Expense,3,"$18,405.25",Explore Tableau for Finance Analytics,"$18,405",$0,"($18,405)",,True,2,Marketing,2000,Marketing,2000,2000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
